GRADUATEYEAR,STUDENTID,กฏหมายพื้นฐานเพื่อคุณภาพชีวิต,การจัดการการดำเนินชีวิต,การตรวจวัดสัญญาณและการดำเนินงานสำหรับอินเทอร์เน็ตของสรรพสิ่ง,การตลาดดิจิทัล,การบริหารการผลิต,การประมวลผลรูปภาพดิจิทัล,การประมวลผลแบบกลุ่มเมฆ,การพัฒนาโปรแกรมประยุกต์บนอุปกรณ์เคลื่อนที่,การพัฒนาโปรแกรมประยุกต์เชิงมัลติมีเดีย,การวิเคราะห์และออกแบบระบบ,การสื่อสารภาษาอังกฤษเพื่อการนำเสนอผลงานด้านเทคโนโลยีคอมพิวเตอร์,การสื่อสารภาษาอังกฤษเพื่อการวิเคราะห์เชิงวิชาการด้านเทคโนโลยีคอมพิวเตอร์,การสื่อสารภาษาอังกฤษเพื่อวัตถุประสงค์ด้านเทคโนโลยีคอมพิวเตอร์,การออกแบบและวิเคราะห์อัลกอริทึม,การเขียนภาษาอังกฤษเพื่อการสื่อสารอย่างมีประสิทธิภาพ,การเขียนโปรแกรมเชิงวัตถุ,การเมือง เศรษฐกิจ  และสังคม,การโปรแกรมบนอินเทอร์เน็ต,คณิตศาสตร์สำหรับวิทยาศาสตร์,คณิตศาสตร์เต็มหน่วยสำหรับวิทยาการคอมพิวเตอร์,คณิตศาสตร์และสถิติในชีวิตประจำวัน,ความมั่นคงปลอดภัยของระบบเครือข่าย,ความรู้พื้นฐานด้านหุ่นยนต์,คอมพิวเตอร์กราฟิกและแอนิเมชัน,คอมพิวเตอร์สารสนเทศขั้นพื้นฐาน,ชีววิทยาเบื้องต้น,ดนตรีวิถีไทยศึกษา,ทักษะชีวิต,ทักษะภาษาไทย,ประชากรและการอนามัยเจริญพันธุ์,ประวัติและพัฒนาการของเทคโนโลยีคอมพิวเตอร์,ประเพณีไทยและศาสนาในไทย,ปรัชญาวิทยาศาสตร์,ปัญญาประดิษฐ์,พลังงานและเทคโนโลยีใกล้ตัว,พีชคณิตเชิงเส้นและการประยุกต์,พื้นฐานทางการเขียนโปรแกรม,ฟิสิกส์เบื้องต้น,ภาพพิมพ์,ภาษา สังคม และวัฒนธรรม,ภาษาอังกฤษพัฒนา,ภาษาอังกฤษพื้นฐาน,ภาษาอังกฤษเชิงวิชาการ,ภาษาโปรแกรม,มนุษย์กับสิ่งแวดล้อม,ระบบฐานข้อมูล,ระบบปฏิบัติการ,วิถีชีวิตในยุคดิจิทัล,วิทยาศาสตร์ข้อมูล,วิธีการเชิงตัวเลข,วิศวกรรมซอฟต์แวร์,สถาปัตยกรรมคอมพิวเตอร์,สถิติวิเคราะห์,สัมมนา,หัวข้อพิเศษทางวิทยาการคอมพิวเตอร์,เคมีทั่วไป,เคมีเบื้องต้น,เครือข่ายคอมพิวเตอร์และการสื่อสารข้อมูล,เทคนิคการทำเหมืองข้อมูล,เทคโนโลยีมัลติมีเดียและเว็บ,เว็บเทคโนโลยี,แคลคูลัส,แคลคูลัสสำหรับวิทยาศาสตร์,โครงสร้างข้อมูล,GPAจบ
2562,100205568,B,,,,,,,,,,,,,D+,,D,C,,,D,,,,,,D,,F,C+,,,,C+,D+,B+,,B+,D,,,C,B+,D+,D,,D,D,,,,,D,F,B,,,D,D+,C,,,D+,,,2.1
2562,100205606,C,B+,,,,,,C+,,,,,,C,,D,,,,B+,C,C+,,,,D+,C,,C,,,,C+,C+,,,B+,F,,,F,D+,D+,D,,F,C,,,,D+,C,,C+,,,D+,D,C,,C,,,,2
2562,100225543,B,,,,,,,,B,,,,,C,,D,,,,D+,C,,,,,D,B+,,C+,,,,C+,D,B,,C+,F,,C+,B+,C+,C+,D,,C,C,,,,D+,D+,,B,C,,D+,D+,,,C,,,D+,2.1
2562,100225553,C,,,,,,,F,B,,,,,D,,C,,,,C,C+,,,,,D+,B,,C,,,,C+,D,C+,,D+,,,C+,B,F,C+,D,,C+,C+,,,,D+,D+,C,B,D,,D+,D+,,,C,,,C,2
2562,100225572,C+,,,,,,,,,,,,,D+,,,,,,C,,,D+,,,B,A,,B+,,,,,D+,B+,,,D+,,,A,A,A,D+,,C+,C,,,,C,D+,D,B,C,,B+,F,C+,,C,,,D+,2.46
2562,100225580,C+,,,,,,,D+,D+,,,,,D+,,C,A,,,C,C,,,,,D+,,,B,,,,C+,D,C+,,C+,F,,C,C,C,C,D,,C,C,,,,C+,D+,,C+,B+,,D+,F,C+,,C,,,C,2.08
2562,100239251,B,,,,,,,,,,,,,C,,D,,,,C+,,,C,,,D,,A,B,A,,C+,C+,C+,B,,C,D+,,B,B+,A,C,D+,B+,B,C,,,,D+,D,D+,A,B+,,D,D+,C+,,C+,D,,D,2.3
2562,100239272,B,,,,,,,A,,,,,,A,,A,B,,,B+,,A,B+,,,C+,,,B,,,,C+,A,B+,,B,C+,,C,A,A,C,B+,B+,A,B+,,,,B+,A,C+,A,A,,C+,B,A,,C+,C+,,B,3.3
2562,100239306,B+,,,,,,,C+,,,,,,C,,C,B,,,C+,,C+,C,,,D+,,,B,,,,B,D+,B+,,C+,D+,,B,A,B+,C,C+,A,B,C,,,,C+,C+,D+,B,C,,C,C,C+,,C+,D,,D,2.4
2562,100239321,B+,,,,,,,C+,,,,,,C,,C,C+,,,B+,,,D+,,,C,A,,C+,,,C+,C,F,B,,C,D+,,C,A,A,C,C,B,C+,C,,,,D+,C+,A,B,,,C+,C,C,,C+,,,D+,2.45
2562,100239333,C+,,,,,,,B+,,,,,,C+,,B+,,,,A,,D+,,,,C+,B,A,C+,,,,B,C+,B,,B,C,,B,B+,A,C,B,B+,B,C,,,,C,A,A,B+,,,C+,D+,C+,,B,C+,,B,2.88
2562,100239381,B+,,,,,,,C,,,,,,C,,C,,,,C+,,,D+,,,D,B,B+,B,,,,C+,D+,B,,C+,D+,,C+,B+,B+,B+,C,B,C,C,,,,C,C+,D,C+,,,D,D+,B,,C+,D,,C+,2.27
